subclass,contents
나비,<br>나비<br>나비가 되기 전엔<br>고치였겠지.<br>고치가 되기 전엔<br>애벌레였겠지<br>애벌레는 항상<br>나비가 되고 싶어 했지<br>그토록 원하던 나비가 되고<br>나비는 무슨 생각이 들었을까
타다,<br>탄다.<br>버스를 탄다.<br>버스를 타고 친구들과 놀러 나간다.<br>탄다.<br>용돈을 탄다.<br>부모님에게서 용돈을 탄다.<br>탄다.<br>때가 탄다.<br>시간이 흘러 흘러 삶에 때가 탄다.<br>탄다.<br>약을 탄다.<br>안 좋아진 몸에 약을 탄다.<br>탄다.<br>애가 탄다.<br>이러한 내가 애가 탄다.
사랑,"<br>절반의 독백과,<br>또 그 반절의 부질없는 것들을 사랑했던 날 들.<br>내가 사랑이라고 믿었던 것은 실상 자기애의 허상이었으므로.<br>나는 사랑하는 감정을 사랑했다."
너,"<br>외톨이였던 나는 학교 도서관에<br>나도 모르게 스며들었다.<br>점심시간, 같이 먹을 친구가 없었고<br>애들의 시선이 너무나도 신경 쓰였다.<br>왜 밥을 안 먹냐는 애들의 말에 나는<br>자꾸 속이 안 좋아서 라는 핑계를 댔다.<br>그렇게 도서관에서 찌들어 살다 어느 날<br>칠판 옆에 걸린 '이달의 다대출자 순위'에<br>내 이름 석자가 1위 옆에 있는 것이<br>초라하고 공허하게 다가왔다.<br>도서관이 그저 '외톨이의 피신처'로만 느껴졌다.<br>그렇게 시간이 지나 투명인간이었던 나는<br>갑작스럽게 부모님의 사정으로<br>이사를 가게 되었다.<br>꽤나 먼 곳이었다.<br>거기서 너를 만났다.<br>너는 나에게 와 주었다.<br>외톨이였던 나는 너를 의심했다.<br>나를 이용할까 봐 두려웠기 때문이다.<br>너는 도서관에 자주 갔다.<br>친구가 너밖에 없던 나는<br>너를 따라 도서관에 다시 가게 되었다.<br>시간이 지날수록 나는 네가 끌렸다.<br>그 인력이 나를 정말 애타게 만들었다.<br>계속 풍선처럼 커지는 마음을 감당하기 힘들었다.<br>네가 좋아하는 사람이 있다는 사실이<br>청천벽력 같았다.<br>힘들게 너를 꾸역꾸역 넣어두었다.<br>지금은 기적처럼 내 옆에 있지만,<br>이따금씩 아려오는 것이다.<br>'공허하고 초라한 곳'<br>이라고만 생각했던 도서관을<br>항상 비어있던 내 옆자리를<br>채워주고, 나를 바꿔주었던 너를<br>너를 미워할 수가 없다.<br>사랑할 수밖에 없다.<br>나는 항상 거짓으로 세워졌지."
사랑,"<br>때론 잔뜩 신이 나 주체할 수 없이 터져나오는 기쁨이 목소리에 묻어나오게 웃었다.<br>때론 겁에 질려 시선을 마주하지 못한 채 빙글빙글 주위를 맴돌고 서성거렸다.<br>때론 북받혀오는 설움에 툭툭 터져나오는 새하얀 눈물 방울들이 얼굴 위로 흘러 턱을 타고 흘러내려도 닦지 못한 채 멍하니 한 곳만을 바라보았다.<br>그래도, 그래도, 놓지 않았다."
사랑,"<br>집 가까이 있는 슈퍼를 가지 않고,<br>집에 돌아오는 너를 마주치기 위해<br>일부러 이 추위에 멀리 있는 슈퍼를 간다."
담배,<br>지독한 연기 앞에서 나는 다짐했다지<br>너처럼은 살지 말아야지<br>남을 위로한답시고 괴로운 말을 쏟아내지는 말아야지<br>스스로 타들어가며 바닥에 떨어지지는 말아야지<br>눈물 몇방울에 송두리째 젖지는 말아야지<br>핑거스냅 몇 번에 몸뚱아리가 아작나지는 말아야지<br>밑바닥에서 밟히진 말아야지<br>골목길에서 연기를 마주하며 한 다짐<br>아 언젠가는 연기처럼 사라져야지<br>누군가의 기억에도 남지 않고 잠시 머물렀다가는 춤사위로<br>그렇게 살다가야지<br>연기처럼
타인,"<br>모든 이들은 그저 남으로 존재하고, 남 탓 하기 바쁘며,<br>그 틀 안에서 자신이 만들어낸 삶의 의미에 따라 살아간다.<br>결국은 모두 남이다.<br>가족도, 친구도, 동료도, 그 누구도."
사랑,"<br>과거로 남아 있는 순간을 사랑하는 제 마음을 아시나요,<br>과거에 멈춰 버린 순간을 사랑하는 제 마음을 아시나요,<br>과거가 된 사람을 사랑하는 제 마음을 아시겠나요.<br>빨간 불로 바뀐 것이 아니라, 빨간 불로써 시작 됐다고 하였습니다."
사람,<br>'스치면 인연'이라는 말은 싫더라<br>한번 스치고 말 사람에게 들은 말 한마디가<br>때로는 사람을 무너지게 할 수도 있는데<br>그들은 그저 스쳐가는 사람이고<br>그들의 말을 의미없이 뻗은 칼날이므로<br>굳이 내가 다가가서 찔릴 필요는 없다
장독,"<br>우리집 화장실 안에는 장독 하나가 있다<br>장독 안에는 물이 한 가득 고여있다<br>장독 안에 든 고인 물<br>그 냄새는 지독하다<br>그 누구도 관심을 주지 않아<br>하루 이틀, 그렇게 한 달이 흐른다<br>누군가 치우겠지<br>결국 내가 그 고인 물을 풀어준다<br>지독하다<br>숨이 턱턱 막히는 것 같은 냄새<br>내 안에도 고여있는 물이 있지 않을까<br>그것을 버리기까지 귀찮음과 나태함과 두려움<br>그러나 결국은 털어내야 할 것들<br>버려진 그  공간만큼<br>새로운 것들이 채워질 수 있는 기회의 공간<br>나는 오늘도 내 마음에 고인 물을 찾아 떠난다<br>곧 다가올 새로움에 대비해"
안락사,<br>날 죽여주오<br>미련을 버리기까지 참 많은 시간이 흘렀소<br>내 비록 신이 남겨둔 길<br>끝까지 가보지는 못했지만<br>결정하고 싶소<br>시작과 달리 끝은 내 의지로 말이오<br>이것이 내 마지막 권리요<br>나와 같이 함께 걷고 달려준<br>그대들에게 진심으로 고맙소
이별,<br>왕왕 하며 나를 반겨주네.<br>어느샌가 부터 익숙해진 것<br>그리고 잦아드는 소리.<br>마지막이 다가온다.
겨울,<br>눈이 오는 겨울<br>아이 추워 겨울<br>친구와 씽씽<br>썰매 타고<br>씽씽<br>달리자<br>달리자<br>눈이 오는 겨울<br>입김 솔솔 겨울
너,"<br>내가 꿈을 꿨어.<br>근데 엄청 울었어.<br>네가 내 세상에서 사라지는 꿈이었거든.<br>꿈이어도 너무 무서웠어.<br>너라는 사람이 내 세상에 없으면<br>내 세상은 바로 무너져.<br>너는 내 배, 불빛, 바다<br>그 모든 것.<br>나의 모든 것."
보내다,"<br>우리는 일단 걸을 것이다. 보낼 것이다.<br>새 해를 살 것이다. 네가 없는 새해를.<br>너는 핑 돌아 사라져<br>눈을 백번쯤 깜빡여도<br>그자리, 이미 비었는데<br>아이야. 너 어딜 갔느냐<br>어디로 가버렸느냐 말두 없이<br>그러나 너 없는 날에도<br>나는 살고자 약을 먹고<br>너 없어도, 나 그래도<br>우리는 우리를 잃었지만 그럼에도."
물방울,<br>어디에서 와서 어디로 가는가<br>흐르는 강줄기 속의 물방울은 생각했다<br>문득 거꾸로 가고 싶다고 생각하여<br>뒤를 향해 나아가려고 했지만<br>할 수 없었다<br>결국 지쳐 나가떨어져<br>다시 흐름에 몸을 맡긴 물방울은<br>강 전체에게 삼켜져<br>다시는 다른 생각을 할 수 없었다
네 이름,"<br>여름 - 꿈<br>우리나라에서 제일 높은 사람이 되서<br>내 이름을 사전에 실어줘<br>더위보다 귀신이 더 무섭다는 너는 폭염주의보에도 이불 속으로 발을 숨기며 말했다 그런 너의 젖은 머리칼을 베개 밑으로 넣어주며 나는 대답했다 무슨 뜻으로?<br>난 팔월 중순에 태어나 땡볕의 뜻을 흠모해 / 사람들 입에 자주 오르내리려면 밥 먹었어, 같은 말의 의미를 훔쳐오는 편이 좋을 수도 있겠어 / 아니다 너는 자주 가위에 눌려 새끼 손가락을 접는 법을 배우러 했잖아 너의 꿈 속에서 내가 주기도문을 외워 줄 수 있게 나는 꿈에서 만나요, 하는 뜻을 가진 단어가 될래<br>귀신보다 외로움이 더 무서웠던 나지만<br>바람이 헛도는 창가쪽 침대에 머리를 누일 때마다<br>네 이름을 두 번씩 외고 눈감는 버릇이 생겼다"
하늘,<br>밤에 올려다 본 하늘엔<br>파도치는 별빛<br>철썩 땅에 부딪혀 부서진<br>빛나는 나의 베개<br>밤에 올려다 본 하늘엔<br>노래하는 달빛<br>태양의 속삭임을 읊어내는<br>온화한 나의 자장가<br>밤에 올려다 본 하늘엔<br>넘실대는 어둠<br>세상을 덮고 이마를 쓸어주는<br>부드러운 나의 이불
마음,"<br>당신에게 전하고 싶은 마음이<br>너무 많은 탓인지<br>자장가를 부르면서 목이 메어옵니다<br>먹먹해 지는 목소리가<br>행여나 당신이 꾸는 꿈 속 행복한 세상에<br>먹구름을 몰고 오는 것은 아닌 지 걱정이 됩니다<br>언제까지나 내 곁에 재우고 싶은 당신이기에<br>오늘도 무사히 잘 수 있기만을 바랄 뿐<br>새근새근 들려오는 당신의 숨소리가<br>내 마음 속에 퐁당, 퐁당<br>물수제비처럼 엷게 퍼집니다"
세계,<br>언제나 너는 꽃처럼 날 바라보기를.<br>그럼 난 기꺼이 꺾어진 꽃 한 송이가 되어줄 수 있는데.<br>언제나 네 마음에서는 흐드러지게 핀 벚꽃이 되고 싶어.<br>네 안에서 내가 모두 져버릴까 무서워.
재,<br>일렁일렁<br>당신이 움직인다<br>일렁일렁<br>함께 타올라 간다<br>일렁일렁<br>나는 묻고싶었다<br>새빨갛게 타들어<br>온전히 소멸되었을 때<br>하얗게 변해버린 나를<br>안아줄 수 있는지<br>묻고싶었다
한겨울,"<br>오월봄 가고 한가을<br>은사시나무 숲 가운데서 짐짓 한참을 자박인다<br>사카린임을 알아도 섣불리 깨물 수 없기에<br>검은 흙 파헤치면<br>한 번 죽음을 겪은 적도 없는 순결한 마디들,<br>그 비릿한 마디를 쥔 채 눈꺼풀은 버리고<br>장마철, 눌어붙은 사탕을 조각내면서<br>한 손으로 네 흰 목을 쥘 수 있었다면<br>스물을 전부 펼쳐서 조르고 졸이고 졸렸다면<br>모든 것을 왼쪽에서 오른쪽으로 밀어버릴 수 있었다면<br>녹슨 목과 술잔을 마주 댈 수도 있었겠지<br>노래를 부를 수도 있었겠지<br>이야기를 나눌 수도 있었겠지<br>있었겠지, 여전히<br>입을 다문다고 할 말이 없는 것은 아니다<br>아직은 오지않은 추위에 버릇처럼 푸릇한 혈관을 뱉는다면<br>중력을 잊은 발목은 영영 구르지 않겠지"
백년초,"<br>언제부터인지 모르겠으나<br>나는 사막에 내던져진 채 홀로 살아가고 있소<br>눈길 한 줌 없이 제 갈 길만 달려가는 해와 달<br>사방으로 펼쳐진 지평선 위<br>찾는 이 없는 쓸쓸한 선인장이라오<br>저 너머 아스라한 신기루 한 폭<br>가시 박힌 손 내밀면 닿을 듯 말 듯<br>쏟아지는 은하수 한 모금 삼켜 갈증 달래고<br>소리 없이 흐느끼지만<br>밤공기마저 얼어붙은 모래사막은<br>메아리 하나 없이 새하얗기만 하다오<br>태양이 온몸을 내리쬐는 어느 날<br>백 년의 고독 끝에 그대를 만났소<br>와락 끌어안고 싶으나 행여 그대 다칠까<br>그저 바라볼 뿐이오<br>열매가, 줄기가, 수액이 필요하다면<br>내 몸 쪼개어 가져가시오<br>그대 없는 백 년보다<br>그대와의 하루가 더 행복하리니"
타인,<br>남에게 눈치를 많이 주는 사람은<br>눈치를 많이 보게 되고<br>남을 깎아내리는 사람은<br>자신을 곧 잘 깎아내리는 사람이다.<br>남을 별것도 아닌 일로 몰아붙이는 사람은<br>자신을 너덜너덜하게 몰아붙여 지쳐있다.<br>남을 사랑하지 못하는 사람은<br>결국 나를 사랑하지 못한다.<br>모두가 타인과 본인에게 야박하게 군다.<br>그것이 제 살을 곪게 한다는걸 알면서도
변화,<br>우리는 허물을 벗어야한다<br>우리는 허물속에 갇혀 상상만 한다<br>또한 우리가 원하는 변화는<br>우리가 바라는 세상은 허물밖에있다<br>허물속에서 어미가 물어다주는 새의 마음으로 살기를<br>알속에서 기다리는 곤충의 마음으로 살기를<br>나는 허물을 벗는다<br>비바람이 몰아쳐도 불타도 저곳은 나의 유토피아<br>허물속의 세상은 아늑한 감옥<br>내 육신이 찢기고 조각나도 나는 괜찮다<br>내가 갈 목적지의 깃발이 없어도 나는 좋다<br>그곳은 나의 안식처 흐드러지는 목화꽃 가득한 그곳<br>나의 쉼터는 허물속에 있지않다<br>잘있어라 허물속의 이들아<br>잘있어라 허물아<br>잘있어라<br>나는 저곳으로 떠난다
죄,<br>죄일까 죄의 삯이 죽음이라<br>나는 점점 죽음으로 몰려가는걸까<br>정신부터 아득하고 멍해져<br>내가 드디어 죽었구나 하지만<br>죽기싫어 그리 죽고싶어 했으면서<br>낙상 죽음이 코앞에 있으니<br>너무 두렵고 무서워<br>내가 살아있나 느끼끼 위해<br>칼을 들어 살을 베어야지<br>실감이 나니<br>곪디 곪은 상처는<br>언제쯤 괜찮아 질까
대화,<br>엄마랑 화해 아닌 화해를 했다.<br>내가 말하면서 스스로 느꼈던건 내가 참 서투르고 나 중심적이라는 것.<br>물러서고 굽히는것을 창피해한다는것. 그걸 티내지 않으려고 고집을 부린다.<br>역시 대화가 최고다. 그리고 약의 힘을 빌렸지만 생각보다 아무렇지 않다. 흉터는 남겠지만.. 옅어지겠지.
세상,<br>세상에는 별별 사람들이 다 있다<br>별들이 많은 우주가<br>반짝이듯<br>지구의 별별 사람들이<br>반짝인다<br>오늘도 별별 사람들이<br>지구를 밝힌다
서울,<br>덜컹덜컹<br>지하철이 지나가는 소리<br>서울의 아침<br>짹짹 짹짹<br>새가 짹짹거리는 소리<br>평화롭고 고요한<br>서울의 낮<br>하하호호<br>시끌벅적한 소리<br>한강을 따라<br>맥주한캔들고 산책하는 소리<br>한강을따라<br>온 가족이 나와 노는 소리<br>서울의 밤<br>시계가 똑딱똑딱<br>뻐꾸기대신 시계소리만 들리는<br>서울의 새벽
사는 법,"<br>생각하지 마<br>그냥 두 눈,  두 귀, 하나의 코를 막고서<br>무색, 무음, 무취로 하여금<br>너만의 색과 노래와 향기가 만들어나가지기를."
지금,<br>지금<br>이세상에서 소중한 금<br>지금.<br>모두가 가지고 있는 금<br>지금<br>지금 이순간에도 계속 가진 금<br>지금.<br>언제나있고 언제나 부족한<br>지금<br>지금 우리는 무엇에 사용하고 있을까.
몰락,"<br>천사의 시간은 인간에게 몰락을.<br>상한 내가 진동하는 추락을 지켜보는<br>그 모든 이에게 파멸을.<br>세계의 미완과 이기적인 마음씨의 끝물이<br>어둠의 직책을 수여받길.<br>이 모든 게 실현된다면,<br>나의 세상 또한 몰락과 함께하길."
놀다,<br>놀이터는 이제 없어질 것 같아<br>사람들은 모두 휴대폰만 하니까.<br>그렇다고 휴대폰이 없어지면<br>정말 불편해질거야<br>어쩜 좋을까 이상황을
인생의 살맛,<br>인생의 살맛을 위해서<br>음식의 짠 음식 먹어보고<br>음식의 간 맞는 음식 먹지<br>인생의 살맛을 위해서<br>음식들 말고도 운동 있지<br>인생의 살맛을 위해서<br>운동장 한 바퀴 돌고<br>물 한잔 마시고 또 뛰지<br>어느새 열 바퀴 달리고<br>이제는 지치지 않는 몸<br>적응은 빠르고 느리지<br>인생의 살맛의 주의는<br>너무나 짜다고 뱉어도 안돼<br>너무나 간 맞는 음식도 안돼<br>인생의 살맛의 주의는<br>과하게 운동도 안돼<br>인생의 살맛의 주의는<br>운동장 띄면은 안되고<br>물 많이 마시면 안 되지<br>그러다 열 바퀴 포기되고<br>이제는 움직임 없는 몸<br>적응이 아니라 인생의 쓴맛이지
마음,"<br>늘 잘해주지 말아야한다고 다짐한다.<br>그렇지만, 순간적인 마음 때문에 항상 무너진다.<br>잘해줘도 내가 좋은건 없는데,<br>약한 내 마음때문에 한 없이 무너진다.<br>다짐했지만, 또 잘해줬다.<br>내 마음 계속 무너졌다. 계속."
그대,"<br>그대와 함께 걸었던 그 모래사장을 혼자 걷고 있다.<br>그때 그대와 모래 위에 그렸던 그림이 파도에 사라지듯,<br>그대도 언젠가 나를 떠날 것 같아<br>어떻게든 그대를 부여 잡았던 지난날들이 생각난다.<br>하지만 지금은 사라져 버려도 좋아요, 그대.<br>지금 이 공간에는 함께 있지 않지만,<br>눈을 감아보면 그대와 항상 함께일 것을 알기 때문에.<br>내 곁에는 항상 그대가 있을 것을 알기 때문에,<br>이 푸른 바다처럼 늘 그대가<br>날 감싸 안아줄 것을 알고 있기 때문에.<br>어떤 말로 이 감정을 전할 수 있을진 모르겠지만,<br>사랑한다는 말이 가장 가까운 것 같네요.<br>오늘도 그저 행복만 하시길, 그대."
사랑,"<br>제가 당신을 사랑하는 이유는 '그냥'이 좋겠습니다<br>별다른 이유 없이 '그냥'이 좋겠습니다<br>당신을 잘 몰라서가 아닙니다<br>당신을 사랑하지 않아서가 아닙니다<br>그 어떤 이유를 대도 부족하기에,<br>그리고 그 이유가 없어도 당신을 사랑하기에<br>'그냥'이 좋겠습니다<br>아무것도 말해주지 않아서<br>당신에 대한 모든 것을 말해줄 수 있는<br>'그냥'이 좋겠습니다<br>저는 당신을 '그냥' 사랑합니다"
웃음 샘,<br>샘이 터졌다.<br>영원히 마르지 않을 듯이<br>콸콸 뽑아내며<br>배꼽을 간지른다.<br>샘이 터졌다.<br>잠시 위로를 넘어<br>일상의 둥지를 틀며<br>마구 웃어댄다.<br>샘이 터졌다.<br>사랑이 오가는 넉넉함으로<br>영화의 주인공이 되어<br>웃음 혈을 찔러대다.<br>하하 호호<br>호호 하하<br>신명나게<br>놀고 갈 세상살이여에<br>샘이 터졌다.
너,"<br>꽃이라 불리우면 정말 꽃이 되는 사람이었고, 꽃잎 위로 사뿐히 날아 앉는 나비라 불리우면 정말 나비가 되는 사람이었다. 밤이 되면 세상을 환히 밝혀주는 달이라 불리우면 정말 달이 되는 사람이었고,  망망대해 같은 어두운 밤하늘 속 빛나는 별이라 불리우면 정말 별이 되는 사람이었다. 그래서 더욱 곱디 고운 말만 골라 귓가에 속삭여 주고 싶었다. 그래, 너는 그런 사람이다. 오로지 곱고 아리따운 말들만 속삭여 주고픈 심정이 들게 하는, 나에게는 과분한 사람."
시간,<br>시간은 내 생각에 따라 움직인다.<br>내가 급할수록<br>시간은 덩달아 급히 달린다.<br>하지만 내가 느긋할 땐<br>시간도 천천히 느긋하게 걸어온다.<br>급할수록 느긋해지고<br>느긋할수록 부지런해 보자.
우리,<br>우리<br>어디선가 만나지 않았니?<br>머나먼 기억 속 어딘가에서<br>나는 왕자<br>너는 공주<br>어쩌면 그랬을지도 몰라.<br>너를 처음 보았을 때<br>나에게 보여주던 말간 미소는<br>꼭 어디선가 본 것 같았거든.
안정,<br>떠있는 것은 무게 중심이 낮아야 하고<br>서있는 것은 밑면이 넓어야 안정하다.<br>산은 서서히 고도를 낮추고<br>물은 높은데서 낮은 곳으로 흐른다.<br>높은 것은 불안정하고<br>좁은 것은 위태롭다.<br>자연은 쉬지 않고 안정을 추구한다.<br>낮고 넓은 것은 안정이 내면화 되어 있다.
힘들다,<br>사람들은 자신의 삶이 가장<br>고되고<br>힘들다고 생각한다<br>그리고 남들이 힘들다하는것에<br>겉으로는 공감하는척하지만<br>속으로는<br>그래도 자기가 가장 힘들다고 생각하고 있을것이다<br>개인마다 살아온 환경이 다르고 맞닥뜨린 환경이 다르므로 어쩔수 없는 일이다<br>그렇게 생각한다
눈,<br>눈으로 보자<br>틀린 것을<br>다른 것을<br>악한 것을<br>알맞은 눈으로 보자<br>죽어가는 것들<br>더럽고 악취나는 것들<br>금방이라도 썩어 없어질 것들<br>목구멍에 걸린 검은 것들<br>손끝에 말린 찌꺼기들<br>썩어가는 시체를<br>알맞은 눈으로 보자<br>먼지 하나 담지 않은<br>맑은 눈으로<br>그들을 바라보자
마음,<br>누구랑 대화 함에 따라<br>마음이 따뜻해지는 사람이 있고<br>그렇지 못한 사람이 있더라.<br>난 전자가 되고 싶었지만<br>쉽지 많은 않더라.<br>그래서 마음이 따뜻하다는 소릴 들으면<br>정말 내가 그런건가<br>의문이 들더라.
산책,<br>강변을 가다<br>오솔길 사이로 난 소나무  정답다<br>생각많은 시간들<br>길가에   버리고<br>돌아 오는길<br>마음 가볍다
개미,<br>임종을 지켜라<br>그 선량한 개미의<br>높은 산에 올랐다는 이유로<br>죽어야만 했던 그 개미의<br>뭉게진 배를 내려다 보며<br>무슨 생각을 했을지<br>보이지 않는 피가 울컥울컥<br>솟아오르고 있었겠지<br>아니오 이것은 착한 사람에게만<br>보이는 피랍니다 그래서<br>당신은 볼 수 없답니다<br>과자 한 조각 저승길 도시락 하려무나<br>내 딴엔 가장 작은 조각이<br>개미에게는 가장 커다란 조각<br>뭉게진 배와 다리로<br>조각을 감싸며<br>빙글 빙글 빙글<br>멈추지 않는 시계는 없는데<br>왜 그 개미는 끝없이 돌았는지<br>임종을 지켜라 그 개미의<br>선량한 일꾼 그 개미의
너,<br>너가 세상을 떠난 그 날<br>너는 별이 되었다.<br>너가 나에게서 떠난 그 날<br>너는 별이 되었다.<br>내가 밤을 지나지 못 할때<br>내가 어둠속에거 길을 잃었을 때<br>나를 위해 빛을 내려줘<br>이 어두운 밤에서 나를 구원해주렴<br>너는 별이 되었고<br>어디에도 없지만<br>어디에나 있는<br>나만의 별이 되었다.
빗방울,<br>추적추적<br>툭 툭 툭<br>떨어져 내리는 빗방울<br>너를 내 근처에 두면<br>내가 짜증난단다<br>내 멋지고 소중한 신발을<br>은근히 망가트리는 나쁜 너<br>우산이 없으면<br>밖을 돌아다니기 힘들게 방해하는 이상한 너<br>갑자기 당황스럽게 찾아와서<br>나를 힘들게 만드는 알 수 없는 너<br>하지만 미워할 수는 없어<br>바닥에 닿으면<br>같은 빗방울끼리<br>똘똘 뭉치는 우정과 협동<br>그런 네 모습은 멋지고 아름다워<br>그런 네 모습은 본받고 싶더구나
미신,"<br>온몸이 흙투성이가 될 때까지 네잎클로버를 찾거나,<br>크리스마스에 산타를 기다리다 밤 잠을 설치거나,<br>뒷마당에 타임캡슐을 묻어 놓거나,<br>해 질 때까지 숨바꼭질을 하거나,<br>귀신이 무서워 이불 속에 숨어 자거나.<br>언젠가부터 나는<br>그것들을<br>하지 않게 되었다.<br>아,<br>푸르구나.<br>머리 위의 것이<br>하늘인지 바다인지<br>손을 뻗고는.<br>그래, 오늘은 종이비행기를 접어 날리자.<br>저기 먼 구름의 색에 대해 이야기하자.<br>내일도 하늘이 푸를지<br>꽃잎을 뜯어 점을 치자.<br>우리<br>조금만 더<br>유년으로 있자."
사랑,"<br>상처받는 사랑을 사랑하고 싶지 않아<br>끝이 있는 것들은 전부 나를 외롭게 만들 뿐이야<br>이런 말조차도 나를 외롭게 만드는 걸 알아<br>그러니까 오늘도 지옥의 끝에 서있다고 말하는 거야<br>폐허가 된 세계의 심장을 부술수만 있다면<br>그럴수만 있다면 행복할 거야, 끝이 날 거야<br>미완성인채 버려진 나는 이제 미래를 볼 수 없어<br>좀 더 제대로 아프게, 다시는 일어서지 못하게 해줘<br>여기에 오면 안 돼, 너도 나처럼 될 테니까<br>전부 농담이라고 마지막이라고 해 줄래?<br>한심한 사랑도 사랑이라고 부르는 거라면<br>이런 나조차도 사랑해줄 누군가가 있을까"
아이스크림,<br>예쁘고 다양한 생김새의 아이스크림들<br>혀로 아이스크림을 낼름낼름<br>핥아먹으면 정말 맛있고 시원하지<br>우유랑 다양한 맛을 가지고 있는<br>맛있는 시럽을 함께 섞어서<br>냉장고에 넣어두면<br>내가 만든 정말 맛있고 시원한<br>세상에 하나 밖에 없는<br>나만의 아이스크림이 완성되지<br>여름이 되면 사람들이 많이<br>찾게 되는 시원한 별미 중의 별미<br>맛있는 아.이.스.크.림
너,<br>네가 좋은 이유<br>그많은 수만가지 이유중<br>몇가지만 추리자면<br>베시시 웃는 모습이 예뻐서<br>무언가에 열중하는 모습이 귀여워서<br>꾸벅꾸벅 조는 모습이 사랑스러워서<br>나만 쳐다보는 그 눈이 아름다워서<br>하지만 이제 이런 이유는<br>필요없는 것 같아<br>너를 바라보는 것만으로도<br>행복하고 너가 더 좋아지니까
나,<br>남들말고 나를 먼저 사랑하자. 이성보다 나를 먼저 사랑하자. 취미보다 나를 먼저 사랑하자. 그것이 인생의 진리일까 생각한다
우리 동네 까마귀,<br>우리동네 까마귀들<br>까마귀들이 나뭇가지에 앉아<br>‘까악가’를 부르고있다.<br>까악까악 까악까악<br>까아악 까아악<br>우리 동네 까마귀들<br>‘까악가’ 모르는 까마귀 없다.<br>‘까악가’모르면<br>우리동네 까마귀 아니다.
빗방울,"<br>빗방울 구슬<br>윤여림<br>하늘이<br>어두워지더니<br>주룩주룩,<br>먹구름이 비를쏟아 내었다.<br>비가 그치고<br>풀잎을<br>가만히 들여다보니<br>구슬이 매달려 있었다.<br>햇빛을 받아<br>영롱하게<br>무지개빛으로 반짝이더니<br>풀잎에서 떨어져<br>깨져 버렸다.<br>구슬이<br>떨어진 곳을 내려다보니<br>반짝이던<br>무지개만 남아 있었다."
공기놀이,<br>공기놀이<br>자꾸자꾸 하고싶은 공기놀이<br>촥~촥! 툭~툭!<br>잡고 잡고 또잡고<br>계속계속하고 싶은 공기놀이<br>자꾸자꾸하고 싶은 공기놀이<br>쉬는 시간 종이 치면 뛰어가서<br>하고싶은 공기놀이.
눈싸움,<br>제목: 눈싸움<br>저쪽에서얍! 이쪽에서얍!<br>눈이 날아다니네요. 아이쿠아이쿠!<br>눈에 맞았어요.저쪽에서<br>받아.받아요. 이쪽에서<br>야! 피했다. 어? 또 오내?<br>이리저리 피하는 눈싸움<br>모두모두 던져봐요.<br>재미는 눈싸움
친구,<br>저도 친구한테 괴로힘을 당했느데 이젠 친구와 사이좋게 지내고 있어요.<br>여자아이는 민준이가 왜? 공룡으로 보였나요? 다음에 만나면 민준이가 왜? 공룡처럼 보였는지 알려주세요.
시험,<br>시험<br>장동화<br>오늘은 시험보는 날<br>시험 보기 싫다.<br>이건가 저건가<br>무얼 적어야할지 모르겠다.<br>어떤건 어렵고<br>어떤건 쉽고<br>에이 모르겠다.<br>이건그냥 이거적자<br>시험은 정말 싫다
독감,"<br>독 감<br>우리반은 독감 걸린 사람이 천지다.<br>4일전은 3명<br>3일전은 4명<br>어제는 6명<br>하지만 오늘은 3명<br>다 나은게 맞을까?<br>독감은 어떤느낌일까?<br>난한번도 안걸려봐서 모른다.<br>독감, 참 궁금하다."
관계,"<br>집으로 돌아오는 길에 문득 생각나<br>꽃한송이 꺾어 선물해주고 싶은 사람<br>길을 찾지 못해 방황할때<br>올바른 곳으로 가게 해줄 이정표 같은 사람<br>혼자 겪어야 할 슬픔을<br>더이상 혼자 견디지 않게 해줄 사람<br>나에게 너란, 그런 사람이고<br>나도 너에게, 그런 사람일까?"
마음공부,<br>우리강산 원래 부터 청정한데<br>미세먼지 날아오고 중국산 코로나가<br>신천지 꼬리 물고 판을 치니<br>마스크가 발을 달고 정신 없이 돌아가네<br>눈 녹은 강물이 티끌처럼 쓸어내고<br>물 오른 나무들과 꽃피고 새들 노래하는<br>푸른 숲이 받아들여 맑은 향기로<br>돌려 주리라<br>이제 우리는 자연을 더욱 사랑하고<br>소중히 여기며 마음공부 다시 하리라<br>2020. 2. 29
용돈,<br>결혼식은 나의 저금통<br>“안녕하세요”<br>“귀엽구나” 만원짜리 척<br>“안녕하세요”<br>“많이컸네” 만원자리 척척<br>용돈이 절로 생기는곳<br>인사 만해도 돈을주는곳<br>눈깜짝 할 사이 사만원이 생기는 곳<br>그곳은<br>엄마 아빠 따라간<br>결혼식<br>이돈가지고 장난감 사러가야지<br>결혼식은<br>인사할때마다 한줄한푼 착착착<br>쌓이는 나의 저금통
매미,<br>매미는 오늘도<br>열심히 울고 있네.<br>사람도 동물도 행복하디만<br>매미는 슬프다네.<br>매미는 나무 위에서<br>언제나 슬프다네.<br>아무도 매미의 마음을 알 수 없지만<br>매미는 슬퍼ㅓ 우는 것이 아니라<br>행복하다네.
집,"<br>아 좋다.<br>너무 따듯하다.<br>너무 행복하고,<br>너무 아늑하다.<br>우리 집은 마치,<br>엄마 품 처럼 편안하다."
